title,score,year,people
曼食慢语,9.4,2015,440
毛骗 第二季,9.3,2011,7802
福贵,9.2,2005,2780
大盗贼,9.3,1989,27831
一路向南,9.3,2010,4822
武林外传,9.3,2006,111420
小明和王猫,9.4,2000,949
罗小黑战记,9.5,2011,12927
生存之民工,9.4,2005,4792
西游记,9.4,1986,79612
毛骗 终结篇,9.6,2015,14259
走向共和,9.6,2003,24011
功夫兔与菜包狗,9.2,2013,1818
红楼梦,9.5,1987,59478
星游记 第一季,9.2,2011,3606
大宅门,9.2,2001,51823
外乡人,9.2,2009,2702
红色,9.2,2014,44325
潜伏,9.2,2009,71324
大明王朝1566,9.6,2007,31018
超兽武装之勇者无惧,9.2,2011,366
黎明之前,9.2,2010,24206
三国演义,9.2,1994,40390
士兵突击,9.2,2006,59158
山城棒棒军,9.2,1997,2238
快乐编剧班,9.2,2000,823
12·1枪杀大案,9.2,1999,2412
无悔追踪,9.2,1995,1451
精灵世纪,9.1,2006,1390
大秦帝国之裂变,9.1,2009,16538
秦时明月之诸子百家,9.1,2010,9122
亲亲我，老师,9.1,1990,623
一禅小和尚,9.2,2016,366
围城,9.1,1990,13713
上海沧桑,9.1,2002,716
我亲爱的祖国,9.1,1999,1240
茶馆,9.1,2010,5756
贞观之治,9.1,2006,3842
红男绿女,9.1,2004,656
我爱我家,9.1,1993,39918
老娘舅,9.1,1995,946
战长沙,9.1,2014,51965
三国演义（精编版）,9.1,1997,1315
百年虚云,9.1,2009,998
秦时明月之万里长城,9.0,2012,7715
小井胡同,9.1,1996,448
大地之子 大地の子,9.1,1995,383
疯味英雄,9.0,2015,2001
康熙王朝,9.0,2001,52901
古城童话,9.0,1999,943
哈哈镜花缘,9.0,1994,8978
鸭子侦探 A Miss Mallard Mystery,9.0,2000,16021
无限生机,9.0,2005,1025
一年又一年,9.0,1999,1726
茶啊二中 第2季,9.0,2015,1306
东周列国·春秋篇,9.0,1996,1981
空山鸟语,9.0,2014,3880
哐哐日记,9.0,2009,2869
夺子战争,9.0,1997,372
亮剑,8.9,2005,43304
我叫MT第一季,8.9,2009,2013
和女儿的日常,9.0,2016,398
天道,8.9,2007,8413
镜花缘,8.9,1991,14242
虹猫蓝兔七侠传,8.9,2006,8593
我的团长我的团,8.9,2009,25031
金刚葫芦娃,8.9,2014,712
地下交通站,8.9,2006,5481
后宫·甄嬛传,8.9,2011,124037
生死线,8.9,2009,9466
口水三国 第一季,8.9,2014,534
记忆的证明,8.9,2002,1725
父母爱情,8.9,2014,16692
人虫,8.9,1998,484
大明宫词,8.9,2000,53831
秦时明月之夜尽天明,8.9,2008,8206
铁马冰河：东北解放战争全纪录,9.0,2008,366
我们的法兰西岁月,8.9,2012,1638
虹猫仗剑走天涯,8.9,2008,474
为了新生活前进,8.9,1996,675
中国刑侦1号案,8.9,2002,1315
命运的承诺,8.9,2002,1728
贻笑大方,8.9,2001,1822
大染坊,8.9,2003,11319
闯关东,8.9,2008,25436
魔角侦探,8.9,2010,492
孟丽君,8.9,1995,460
狄仁杰断案传奇,8.9,1986,420
人间正道是沧桑,8.9,2009,15676
大秦帝国之纵横,8.8,2013,13299
暗算,8.8,2006,16296
白鹿原,8.8,2017,45407
汉武大帝,8.8,2004,16707
九九归一,8.8,2000,2475
十月围城,8.8,2014,6756
夺宝幸运星,8.8,2005,1023
唐人街,8.9,2003,379
法门寺猜想,8.8,1997,1105
边疆行,8.9,2011,347
狐妖小红娘,8.8,2015,5623
沉默的证人,8.8,2004,3409
大宋提刑官,8.8,2005,19254
舞乐传奇,8.8,2013,17596
似水年华,8.8,2002,19689
白夜追凶,8.9,2017,1609
葫芦兄弟,8.8,1986,62143
米老鼠和唐老鸭,8.8,1984,467
一触即发,8.8,2012,7465
西安虎家,8.8,2004,341
葫芦小金刚,8.8,1991,12264
那年那兔哪些事儿 番外篇,8.8,2016,1025
雷雨,8.8,1999,401
少年特工,8.8,1992,2606
一起同过窗 第一季,8.7,2016,17911
我叫MT第二季,8.8,2010,727
八兄弟,8.8,2008,468
茶啊二中 第1季,8.8,2014,1180
十七岁不哭,8.7,1997,13973
岁月,8.7,2010,2204
济公游记,8.7,1998,1330
四世同堂,8.7,1985,1629
特别车队,8.7,1993,1415
小和尚,8.7,2001,876
居家男人,8.7,2004,569
雍正王朝,8.7,1997,18961
男生学院自习室 第一季,8.7,2014,4071
魔方大厦,8.7,1990,29597
超神学院第3季：神与神,8.7,2015,532
最好的我们,8.7,2016,53847
我叫MT第三季,8.7,2010,502
超兽武装之仁者无敌,8.7,2011,371
说的就是你II,8.7,2015,906
动什么，别动感情,8.7,2005,1492
儿女情长,8.7,1996,755
勇者大冒险  第二季,8.7,2016,1050
凸变英雄 TO BE HERO,8.7,2016,1794
孙子兵法与三十六计,8.7,2000,1910
血色浪漫,8.7,2004,34677
请你原谅我,8.7,2011,9789
我叫MT第五季,8.7,2012,414
千秋家国梦,8.7,1997,1859
狄仁杰断案传奇,8.7,1996,695
爱情女侦探,8.7,1996,766
我叫MT第六季,8.7,2013,431
征服,8.7,2003,7235
孝子,8.7,2006,581
这里的黎明静悄悄 A zori zdes tikhiye,8.7,2005,776
永不回头,8.7,2010,1042
动物王国窃案,8.7,1987,1591
楚留香新传,8.6,2012,4171
我叫MT第四季,8.7,2011,453
纳米核心 第二季,8.7,2016,434
孔子,8.7,1991,416
天行九歌,8.6,2016,3123
舒克和贝塔,8.6,1989,53873
和你在一起,8.6,2004,481
那年那兔那些事 第二季,8.6,2015,5361
道可道,8.6,2006,940
秦时明月之百步飞剑,8.6,2007,8227
一地鸡毛,8.6,1995,2468
少林问道,8.6,2016,3125
新乱世佳人,8.6,1997,1280
其实不想走,8.6,2001,545
家里比较烦,8.6,2000,324
梦开始的地方,8.6,1999,1018
邋遢大王奇遇记,8.6,1987,44558
永不磨灭的番号,8.6,2011,7415
快乐东西,8.6,2003,993
西游记,8.6,1999,15189
猴娃,8.6,1993,401
民工,8.6,2004,365
青鸟的天空,8.6,2004,640
非常公民,8.6,2002,1914
小贝流浪记,8.5,1999,3334
三国演义,8.5,2009,1886
西安大追捕,8.6,1996,333
迷雾,8.5,2007,837
傻儿师长,8.5,1992,1022
十二生肖,8.5,1995,9466
大秦帝国之崛起,8.5,2017,21463
自古英雄出少年,8.5,1995,1475
年轮,8.5,1992,2506
二马,8.5,1999,343
三毛流浪记,8.5,1984,2294
馒头日记,8.5,2013,574
苍穹之昴,8.5,2010,4513
国防生,8.5,2013,758
医者仁心,8.5,2010,1522
生活有点甜,8.5,2016,866
小小飞虎队,8.5,1995,696
命案十三宗,8.5,2000,644
原乡,8.5,2014,752
只要你过得比我好,8.5,1994,1884
推拿,8.5,2013,1779
皮皮鲁和鲁西西,8.5,1987,473
恰同学少年,8.5,2007,11344
腾空的日子,8.5,2014,3365
人参王国,8.5,1997,8885
大清盐商,8.5,2014,3451
凹凸世界 第一季,8.5,2015,412
瑶玲啊瑶玲,8.5,2003,1273
与青春有关的日子,8.4,2006,16907
世纪人生：董竹君传奇,8.5,1999,605
红十字方队,8.5,1997,3825
说的就是你,8.5,2014,1014
老农民,8.4,2014,3208
那年那兔那些事  第三季,8.4,2016,2003
少年天子,8.4,2003,8363
情有千千劫,8.4,2002,788
宝贝女儿好妈妈,8.5,2004,848
高纬度战栗,8.4,2007,711
神探狄仁杰,8.4,2004,10394
相思树,8.4,2008,2690
记忆之城,8.4,2006,750
河神,8.4,2017,48744
誓言无声,8.4,2002,1057
上海一家人,8.4,1991,2075
少年有点酷,8.4,2017,1729
妙先生之火泽睽笑人传,8.4,2014,1265
沂蒙,8.5,2009,346
女生日记之做决定事务所,8.4,2015,510
校园先锋,8.4,1996,667
炊事班的故事,8.4,2002,16426
风车,8.4,2011,3335
家有九凤,8.4,2006,3926
暖春,8.4,2008,4184
小米的森林 Mee's Forest,8.4,2009,1525
幻镜诺德琳,8.4,2017,2677
追,8.4,2007,1027
镖门,8.4,2014,6807
炊事班的故事2,8.4,2004,7900
爱情公寓,8.4,2009,75530
逆水寒,8.4,2004,6965
遇见王沥川,8.4,2013,32832
仙剑奇侠传,8.4,2005,59547
镇魂街 第一季,8.4,2016,7680
黑鸟,8.4,2004,689
关中匪事,8.4,2004,1993
成吉思汗,8.4,2000,1578
北京人在纽约,8.4,1993,20877
隋唐英雄传,8.4,2000,486
毛骗 第一季,8.4,2010,10910
老板来了,8.4,2016,327
天娇,8.4,2003,681
手机,8.3,2010,12007
来不及说我爱你,8.3,2010,28331
黑猫警长,8.3,1984,47798
爱是一颗幸福的子弹,8.3,2007,2164
水浒传,8.3,1998,23237
伪装者,8.3,2015,76675
历史的天空,8.3,2004,2753
小太极,8.3,1999,624
小龙人,8.3,1992,34424
过把瘾,8.3,1994,10022
刑警本色,8.3,1999,1778
一人之下 第一季,8.3,2016,3850
Q版三国,8.3,2003,2821
我是你的喋喋phone,8.3,2015,361
大浴女,8.3,2007,320
少年锦衣卫,8.3,2017,5975
人活一张脸,8.3,2008,860
人民的名义,8.3,2017,169356
